ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
40ee611d-6cbb-435f-b874-ace3a089a8b6,aks-beliv-prod,AKS,MC_technologies-prod_aks-beliv-prod_eastus2,eastus2,Yes,Yes,8,No,100.0%,0.0%,0.0%,Yes,2024-03-04,Production,Installed (Basic),"Yes: Cron: CRON_TZ=America/Guatemala 0 0 0 * * mon,wed,fri, Next: 2025-04-16T06:00:00Z",0.00%,1.28.3,See API,No,75.0%,25.0%,0.0%
cb67122d-e20d-4f7c-a8ee-814af275e0e8,aks-fel-sv-2,AKS,MC_RG-FEL_aks-fel-sv-2_eastus2,eastus2,Yes,Yes,16,Yes,100.0%,0.0%,0.0%,Yes,2024-04-30,unknown,Installed (Basic),"Yes: Cron: CRON_TZ=America/Guatemala 0 0 12 * * sun, Next: 2025-04-20T18:00:00Z",12.50%,1.28.15,See API,No,85.7%,14.3%,0.0%
dfd5d0fb-68b4-4dc7-b93e-982904f7775d,aks-beliv-dev,AKS,MC_technologies-dev_aks-beliv-dev_eastus2,eastus2,Yes,Yes,10,No,14.3%,85.7%,0.0%,No,2024-02-19,Development,Installed (Basic),"Yes: Cron: CRON_TZ=America/Guatemala 0 0 9 * * mon,wed,fri, Next: 2025-04-16T15:00:00Z",0.00%,1.28.3,See API,No,75.0%,25.0%,0.0%
