cluster_id,cluster_name,connected_date,month,resource,avg_hourly_cost,avg_daily_cost,avg_monthly_cost
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-07,CPU,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-07,RAM,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-07,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-08,CPU,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-08,RAM,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-08,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-09,CPU,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-09,RAM,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-09,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-10,CPU,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-10,RAM,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-10,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-11,CPU,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-11,RAM,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-11,Storage,0.0000,0.0000,0.00
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-12,CPU,0.0146,0.3512,10.89
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-12,RAM,0.0020,0.0480,1.49
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2024-12,Storage,0.0001,0.0033,0.10
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-01,CPU,0.0142,0.3413,10.58
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-01,RAM,0.0019,0.0463,1.44
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-01,Storage,0.0001,0.0033,0.10
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-02,CPU,0.0073,0.1744,4.88
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-02,RAM,0.0009,0.0224,0.63
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-02,Storage,0.0001,0.0033,0.09
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-03,CPU,0.0076,0.1815,5.63
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-03,RAM,0.0009,0.0225,0.70
e3d7decb-8947-42c3-84d8-b456ccbf93e5,eks-dev-front-nv,2024-04-17,2025-03,Storage,0.0001,0.0033,0.10
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2024-11,CPU,0.0186,0.4465,13.40
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2024-11,RAM,0.0024,0.0579,1.74
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2024-11,Storage,0.0000,0.0000,0.00
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2024-12,CPU,0.0161,0.3875,12.01
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2024-12,RAM,0.0022,0.0517,1.60
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2024-12,Storage,0.0000,0.0000,0.00
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-01,CPU,0.0108,0.2595,8.05
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-01,RAM,0.0014,0.0344,1.07
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-01,Storage,0.0000,0.0000,0.00
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-02,CPU,0.0080,0.1926,5.39
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-02,RAM,0.0010,0.0242,0.68
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-02,Storage,0.0000,0.0000,0.00
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-03,CPU,0.0074,0.1776,5.50
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-03,RAM,0.0009,0.0221,0.69
51d9cfdd-5dfe-47ec-b0fd-004076a8050e,eks-dev-cd-nv,2024-11-21,2025-03,Storage,0.0000,0.0000,0.00
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2024-11,CPU,0.0188,0.4521,13.56
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2024-11,RAM,0.0022,0.0538,1.61
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2024-11,Storage,0.0000,0.0000,0.00
b2c4508d-c2ca-4e4e-be3c-3996f5c69886,eks-qa-cd-nv,2024-11-25,2024-12,CPU,0.0215,0.5172,16.03
