ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
01b771c0-a47f-4e4f-ae08-53a7535e2ddb,AZR-AKS-brazilsouth-QAS-SIM-001,AKS,MC_RSG-SIM-PRJSIM-DEV-AZR-AKS-brazilsouth-QAS-SIM-001_brazilsouth,brazilsouth,Yes,Yes,36,Yes,6.7%,93.3%,0.0%,Yes,2025-03-14,QAS,Installed (Basic),"Yes: Cron: CRON_TZ=America/Sao_Paulo 0 0,6,12,22 * * *, Next: 2025-04-15T03:00:00Z",23.28%,1.28.13,See API,No,87.5%,12.5%,0.0%
b00744f0-70ef-46b9-8ea3-cbd1187c9fd7,AZR-AKS-brazilsouth_PRD,AKS,mc_mrv-aks-digital-brazilsouth_prd_azr-aks-brazilsouth_prd_brazilsouth,brazilsouth,Yes,Yes,248,No,7.4%,92.6%,0.0%,Yes,2024-05-08,PRD,Installed (Basic),"Yes: Cron: CRON_TZ=America/Sao_Paulo 0 0,6,12,22 * * *, Next: 2025-04-15T03:00:00Z",0.00%,1.28.13,See API,No,86.2%,13.8%,0.0%
00a1ad59-4c97-4ee0-8a81-5421ac6d2324,AZR-AKS-brazilsouth_DEVQA,AKS,MC_MRV-AKS-Digital-brazilsouth_DEVQA_AZR-AKS-brazilsouth_DEVQA_brazilsouth,brazilsouth,Yes,Yes,90,Yes,2.1%,97.9%,0.0%,Yes,2024-04-19,"DEV,QAS",Installed (Basic),"Yes: Cron: CRON_TZ=America/Sao_Paulo 0 0,6,12,22 * * *, Next: 2025-04-15T03:00:00Z",69.15%,1.28.13,See API,No,95.7%,4.3%,0.0%
