ClusterID,Cluster Name,Provider,accountID,Region,Phase 1,Phase 2,CPU Count,WOOP Enabled,% OnDemand Nodes,% Spot Nodes,Fallback Nodes?,First Rebalance,Connected Date,Environment,Evictor,Scheduled Rebalance,WOOP enabled %,Kubernetes version,Extended Support,3rd Party,CastAI Nodes Managed,Provider Nodes Managed,3rd Party Nodes Managed
145d1dca-6d0a-4f2c-80b0-aea7c692397e,kuberneteca-external,EKS,372376101692,us-east-1,Yes,Yes,62,No,7.1%,92.9%,0.0%,Yes,2023-08-09,unknown,Installed (Basic),"Yes: Cron: CRON_TZ=America/Mexico_City 0 0 1 */1 * *, Next: 2025-04-15T07:00:00Z",0.00%,1.30,See API,No,87.1%,12.9%,0.0%
27b1fee8-7b6f-45ab-b17b-e0e70ca2d6ea,kuberneteca-2,EKS,372376101692,us-east-1,Yes,Yes,384,No,0.0%,100.0%,0.0%,Yes,2023-08-09,unknown,Installed (Basic),"Yes: Cron: CRON_TZ=America/New_York 0 30 */1 * * *, Next: 2025-04-15T02:30:00Z",0.00%,1.30,See API,No,76.0%,24.0%,0.0%
51990f34-f75c-49ef-99af-4761f3e62d4f,kuberneteca-front-2,EKS,372376101692,us-east-1,Yes,Yes,10,No,0.0%,100.0%,0.0%,Yes,2023-08-09,unknown,Uninstalled,"Yes: Cron: CRON_TZ=America/Mexico_City 0 0 1 */1 * *, Next: 2025-04-15T07:00:00Z",0.00%,1.30,See API,No,20.0%,80.0%,0.0%
a7f325a4-3046-4ca0-8caa-7f8b1f699f65,kuberneteca-front,EKS,372376101692,us-east-1,Yes,Yes,64,No,3.8%,96.2%,0.0%,Yes,2023-08-17,unknown,Uninstalled,"Yes: Cron: CRON_TZ=America/Mexico_City 0 0 1 */1 * *, Next: 2025-04-15T07:00:00Z",0.00%,1.30,See API,No,85.7%,14.3%,0.0%
